content	genre	release_year	title	country	len_plot
Tanner is a desperate prisoner who escapes from jail and promptly murders an innocent farmer named Matthew Random. Stealing Random's horse and gun the outlaw promptly makes his escape. Finding his twin brother murdered Lucius Random vows revenge and sets off to find the killer. Although he does not know the identity of the killer Random knows that he is part of the nefarious Checker Gang and can be identified by the gun he stole from Matthew which is one of a unique set of two that the brothers Matthew and Lucius owned between them.	western	1957.0	Flesh and the Spur	"{""/m/09c7w0"": ""United States of America""}"	110
Joe Daylight is on the run along with members of his outlaw gang The Kid Doc and Henri. After fleeing from a bank robbery they manage to elude the posse chasing them after crossing into Mexico. The gang had agreed to meet up later to divide up the money however Daylight instead uses the money to buy a ranch the Casa Grande. Although several of them protest the gang agrees to follow Daylight to the ranch. They are soon joined by The Traveler who has recently joined the gang and leads them to the ranch. Daylight plans to use the ranch as a cover to rustle cattle from his neighbors and sell them at inflated prices across the border. However his comrades soon adapt to life on the ranch. The Traveler and The Kid meet two women named Dona Maria de Castellar and Pacesita with whom they eventually fall in love. Daylight's plans are temporarily threatened by another bandit gang led by Rojo who begins stealing cattle from numerous ranches in the area including his own. Organizing the local ranchers against the bandits they succeed in chasing off Rojo. This has an unintended consequence however as Daylight's men have decided to remain at Casa Grande. He and his men begin to argue and during the course of events shoots and kills Doc causing The Traveler to kill Daylight in turn. With their former leader dead the men stay on the ranch and The Traveller and Maria begin a new life on the Casa Grande.{{cite web}}	western		Gunfighters of Casa Grande	"{""/m/09c7w0"": ""United States of America"", ""/m/06mkj"": ""Spain""}"	309
During a stagecoach holdup Celia Wallace is robbed of 10000 and little Myrtle Walton is saved from the runaway horses by a passenger Cole Armin. Celia is grateful until she learns Cole is coming to Albuquerque to work for his uncle John Armin a ruthless freightline owner who stops at nothing to put competitors Celia and her brother Ted out of business. Concluding that his uncle was even behind the robbery Cole switches sides to work for the Wallaces. Armin uses a woman Letty Tyler to spy on his adversaries but she resents being used when a mine is blown up and Ted is wounded by gunfire. Cole is framed for arson and jailed. Celia who loves him turns against Cole until his acquittal when Letty explains that John Armin is the man responsible. After an ambush Cole has to shoot the corrupt sheriff and another gunman and before the Cavalry finally arrives John Armin is dealt with as well.	western	1948.0	Albuquerque	American	212
Having massacred an Indian village outlaw Duncan finds his men falling victim to a solitary rider Navajo Joe. Joe saves two prostitutes who have overheard Duncan plot with Lynne the town doctor to steal a train full of money belonging to the bank. Joe steals the train back from Duncan's gang. He asks the townspeople of Esperanza to pay him to protect them from Duncan making an offer of I want a dollar a head from every man in this town for every bandit I kill. The townspeople reject him as they don't make bargains with Indians. Lynne's wife Honor persuades them otherwise. Joe sets a trap for Duncan but is caught and tortured Lynne and Honor are killed. Rescued by an old man from the saloon Joe again steals the train and eradicates Duncan's gang. There is then a showdown in an Indian cemetery where Joe reclaims the pendant which Duncan stole from his wife when he murdered her. As Joe turns Duncan shoots Joe with a hidden gun. Injured Joe grabs a tomahawk and throws it hitting Duncan square in the forehead. With Duncan dead Joe sends his horse back to town probably for the reward.	western	1966.0	Navajo Joe	"{""/m/06mkj"": ""Spain"", ""/m/03rjj"": ""Italy""}"	251
The movie begins and ends as a spirit known in the movie as Arthur enters and descends back into the world from the water. Then the movie shows an airplane carrying a passenger to an Indian reserve where they're blockading constructionforestry equipment from clearcutting on Indian land. We later realize that the individual was a lawyer representing the tribe whose land is going to be clearcut and the protesters are angered at the lawyer losing the case  the lawyer came to discuss an appeals process. Wilf is introduced at this time  then he in turn introduces Arthur who also kidnaps the logging company's general manager and the four take off through the woods where Arthur instructs them in listening to Mother Earth. Surrealistic in its entirety throughout the movie you're taken for a ride that will take you through many thought provoking scenes. In particular where Wilf describes Washakeajack the Indian trickster.	western		Clearcut	"{""/m/0d060g"": ""Canada""}"	193
When Adam Sorenson  an English Literature major at Mercy College a fictitious Midwestern college meets Evelyn Ann Thompson  an attractive graduate art student at the local museum where he works his life takes an unexpected turn. Never having had success with women he is flattered when Evelyn shows an interest in him and at Evelyn's suggestion begins a regular exercise regimen eats healthier foods dresses more stylishly acts more confident and dominant as well as purchases contact lenses. These initial changes regarding Adam's physical appearance are well received by Adam's friend Phillip  and Phillip's girlfriend Jenny . Later however Evelyn cajoles Adam into undergoing plastic surgery and succeeds in persuading him to cut himself off from Phillip and Jenny. It seems all Evelyn wants Adam to do is change everything about himself into what is more conventionally acceptable. In the penultimate scene Adam learns that he has been part of Evelyn's MFA thesis project a topic often touched on in conversation throughout the film but never fully explained. Evelyn relates that she had been instructed to change the world by her graduate adviser but that she has chosen to change someone's world her academic work ultimately consisting of sculpting Adam into a more attractive human being. She presents Adam before an audience of students and faculty as her creation. Accordingly none of the feelings she has shown him throughout the film are genuine at no stage in their relationship does she fall in love with him her videotaping of their lovemaking is just a part of the project's documentation. In fact she announces before a live audience at her gallery opening that she is not going to marry him and the engagement ring he offers her is simply one of the exhibits of her art installation the capper to my time at Mercy. Publicly humiliated and devastated Adam confronts Evelyn demanding an explanation for her actions. She responds by saying that he should in fact be grateful to her claiming that objectively speaking she has been a positive influence on his life making him a more attractive and interesting person in the eyes of society. In the final moments of the film Adam stands alone surrounded by the remnants of his life before and after Evelyn.	romance	2003.0	The Shape of Things	"{""/m/09c7w0"": ""United States of America""}"	464
Teenage gay Frank is part of a typical bourgeois family in the 1984 Luxembourg. For unknown reasons he decides to run away with his best friend Rita. They settle in Amsterdam where Frank starts enjoying life. When Rita leaves with her ​​boyfriend Frank is left with no place to go. He goes to a public house called the House of Boys in which young attractive men dance and provide sexual services to older men. The place is run by the mysterious performer and drag queen Madame  who lets Frank stay there. In the club he meets Angelo who is a transsexual and raises funds for his gender reassignment surgery and Jake  a favorite of customers who considers himself to be straight. But Frank falls in love with him and after a while they start a relationship. Meanwhile Europe sees the start of the AIDS epidemics. Soon Frank learns that Jake has contracted the disease and becomes engulfed in the horror of the disease watching his boyfriend dying.	romance	2009.0	House of Boys	{}	201
In the present siblings Michael and Carolyn arrive at the Iowa farmhouse of Francesca Johnson their recentlydeceased mother to see about the settlement of their mother's estate. As they go through the contents of her safe deposit box and the will they are baffled to discover that their mother left very specific instructions that her body be cremated and her ashes thrown off the nearby Roseman Covered Bridge which is not in accordance with the burial arrangements they had known from their parents. Michael initially refuses to comply while Carolyn discovers a set of photos of her mother and a letter. She manages to convince Michael to set aside his initial reaction so they can read the documents she has discovered. Once alone they go through a series of letters from a man named Robert Kincaid addressed to their mother revealing that he had an affair with her in 1965. The siblings find their way to a chest where their mother left a letter a series of diaries and other mementos. They discover their mother an Italian war bride had had a fourday affair with Robert Kincaid a photographer who had come to Madison County Iowa to shoot a photographic essay for National Geographic on the covered bridges in the area.{{cite web}} The affair took place while her husband and children were away at the Illinois State Fair. The story in the diaries also reveals the impact the affair had on Francesca and Roberts lives since they almost elope but she stops at the last minute in consideration of a bigger picture that includes the consequences on the lives of her children and husband while he finds meaning and his true calling as an artist. The story also has deep consequences on the lives of Michael and Carolyn both of whom are facing marital issues but their mothers story helps them to find a sense of direction in their lives. At the end the Johnson siblings agree to their mothers request.	romance	1995.0	The Bridges of Madison County	"{""/m/09c7w0"": ""United States of America""}"	395
Thakur Vikram Singh left India the same time the British did along with his son Anand for England. Years later Anand has grown up to be a doctor and travels to Bombay India to work together with Dr. Pradhan for six months thereafter he must return home and get married to Lalita who is the daughter of Thakur's Legal Advisor Jackson. Six months go by and Anand does not return the Thakur along with Jackson and Lalita also travel to India to bring him back. This is where they find out that Anand has been romancing Rajkumari Sanyogta and both are expected to get married soon. The Thakur is pleased with Anand's choice and gives his blessings to the young couple. Watch what happens when the Thakur finds out that Rajkumari is in fact a flowerselling belle from his hometown of Balrampur and Anand may not be his son after all.	romance	1979.0	Hum Tere Ashiq Hain	Bollywood	211
Raffy and Andrew were orphaned as kids and had only each other to depend on. Raffy has spent the last nine years of his life working in Dubai. His ultimate goal is to fulfill a lifelong dream to eventually move to Canada with his younger brother Andrew. The Alvarez brothers are finally united when Andrew goes to Dubai. In Dubai Andrew meets Faye one of Raffy's many girlfriends. They hit it off well in spite of their age difference. She becomes his guide comfort and lover. Seeing the two together Raffy realizes that he still and really loves Faye. When Andrew discovers that Raffy still loves Faye conflict arises between the brothers almost severing the ties that bind them. In the end what they choose and achieve are not as planned but their experiences in Dubai lead to new beginning in their lives.	romance	2005.0	Dubai	"{""/m/05v8c"": ""Philippines""}"	179
In Okinawa an ancient statue is unearthed with a prophecy inscribed on it When a black mountain appears in the sky and the sun rises in the West a monster will arise to destroy the world. The statue of the mythical monster King Caesar protector of Okinawa is vital should the prophecy come true. Before long the signs appear a giant black mountain shaped cloud is seen and a mirage creates the illusion of a Western sunrise. Godzilla emerges from Mount Fuji and begins a destructive rampage. Former ally Anguirus confronts Godzilla only to be violently defeated when Godzilla breaks Anguirus' jaw. Another Godzilla shows up to battle the rampaging Godzilla and reveals it to be an impostor. It is Mechagodzilla a robot created by ape aliens of the Third Planet from the Black Hole to destroy the real Godzilla and conquer Earth. MechaGodzilla unleashes his full arsenal and a wounded Godzilla collapses into the sea. Too damaged to continue the attack MechaGodzilla retreats for repairs. Returning to Monster Island Godzilla is repeatedly energized by mysterious bolts of lightning. His repairs completed MechaGodzilla is unleashed to destroy King Caesar but Godzilla comes to the rescue. After a bloody battle between the three titans Godzilla generates a magnetic field against MechaGodzilla dragging the metal robot within reach. Godzilla twists MechaGodzilla's head off and the robot's body explodes. The aliens' base explodes and both King Caesar and Godzilla return home.	fantasy	1974.0	Godzilla vs. Mechagodzilla	"{""/m/03_3d"": ""Japan""}"	308
Three boys are walking home after school on Halloween. On the way home one boy Mark visits a creepy old woman. The old woman asks Mark to help her get her cat Lucifer out of a tree. Mark climbs the tree but falls and is knocked unconscious. When Mark wakes up he discovers that the old woman is really a witch. The witch gives Mark a magic ring and tells him to plant the seeds inside and a magic tree will grow. On Thanksgiving Mark performs the magic spell the witch taught him and a magic evergreen tree grows overnight in the back yard. Mark's dad tries to cut down the tree but to no avail. Later on Christmas Eve the Magic Tree comes to life and grants Mark three wishes. The greedy boy first wishes for one hour of absolute power which he promptly abuses. Mark's second wish is to have Santa Claus all to himself. When Mark sees the unhappiness his selfishness causes however he uses his third wish to return Santa Claus to the children of the world. On Christmas Day Mark wakes up and realizes that the entire adventure he just had was all a dream.	fantasy		The Magic Christmas Tree	{}	237
Alibaba and his son live with his rich brother Cassim. Marjina and Zabba are two slave girls who work in Cassims house. Marjina and Alibabas son are in love with each other. Zabba is in league with Abu Hassan who is the leader of a gang of thieves. Alibaba finds the thieves cave and becomes rich. Cassims wife insists on knowing the secret of his wealth. Alibaba tells his brother who goes to the cave but cant get out as hes forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back for burial. Abu Hassan finds out about Alibaba and the story then follows Marjina outsmarting Abu Hassan who comes visiting as a merchant.	fantasy	1940.0	Alibaba	Bollywood	170
It is Lumpy's first Halloween with Roo Winnie the Pooh and their friends in the Hundred Acre Wood. While the group discusses their plans for Halloween Until Tigger tells the story of the Gobloon a monster that will turn its' prey into Jackolanterns  if he catches you but if it is captured the Gobloon will grant its' captors one wish. When Pooh eats Rabbit's entire stock of candy for trickortreating Roo and Lumpy set out to capture the Gobloon to wish for more candy. Lumpy's courage fails him when they reach the Gobloon's supposed lair so Roo tells him the story of when Piglet gained his courage . Inspired Lumpy helps set a trap for the Gobloon but the two end up running away when they believe the Gobloon to be returning. Lumpy is separated from Roo the latter fleeing from an unknown figure with a wheelbarrow full of pumpkins. Lumpy ends up caught in the trap they had for the Gobloon. Lumpy is heartbroken to be alone as he and Roo had promised to stay together during the adventure. Roo ends up back at the Tree of Terror to find a JaggedyLantern looking like Lumpy. Roo recruits Pooh Piglet Tigger Eeyore and Rabbit to help him capture the Gobloon and save Lumpy. The group arrives at the trap and hearing Lumpy trying to break out of the trap assume the Gobloon was trapped already. The group is unsure what to wish for but Roo wishes to have his friend back. Hearing Roo's voice Lumpy is inspired to finally break his way out of the trap much to the joy of his friends. The group finally goes trickortreating and Kanga who was in reality the mysterious figure throws a Halloween party for the friends complete with Jackolanterns carved in everyone's likeness. There was not one for Lumpy as Kanga explains It must have fallen off my wheelbarrow. .	fantasy	2005.0	Pooh's Heffalump Halloween Movie	"{""/m/09c7w0"": ""United States of America""}"	455
Upon his return to Italy from his many adventures the great warrior Hercules learns that his lover Princess Deianira has lost her senses. According to the oracle Medea  Daianara's only hope is the Stone of Forgetfulness which lies deep in the realm of Hades. Hercules with two companions Theseus and Telemachus embarks on a dangerous quest for the stone while he is unaware that Dianara's guardian King Lico is the one responsible for her condition and plots to have the girl for himself as his bride upon her revival. Lico is in fact in league with the dark forces of the underworld and it is up to Hercules to stop him. The climax has Hercules smashing Lico with a giant boulder and throwing similarly large rocks at an army of zombies.	fantasy	1961.0	Hercules in the Haunted World	"{""/m/03rjj"": ""Italy""}"	164
